ID,entrytype,title,author,year,journal,volume,number,pages,month,note,publisher,address,abstract
MelitzJacques2019SDat,,Some Doubts about the Economic Analysis of the Flow of Silver to China in 1550–1820,"Melitz, Jacques",2019,Open economies review,30,1,105-131,,,Springer US,New York,"The paper takes issue with the mainstream economic analysis of the enormous flow of silver into China in 1550–1820. First, I challenge the view that arbitrage between gold and silver in European trade with China was important except for one twenty-year spell. Next, I argue that had China imported gold, its history would have been much the same. I also dispute the idea that the persistence of the silver inflows from 1550 to 1820 implies any persistent disequilibrium, and I maintain that economic theory can easily accommodate the view that the inflow of silver into China sponsored growth in China."
alma9947505788104105,,The economics of creative destruction new research on themes from Aghion and Howitt,"Akcigit, Ufuk. and Van Reenen, John. and Macron, Emmanuel.",2023,,,,,,,Harvard University Press,Cambridge,"""Leading social scientists explore pressing issues-monopoly and inequality, growth and innovation, climate change and fraying social safety nets-through the lens of creative destruction. Far more than a theory of capitalist dynamics, creative destruction proves an important idea for illuminating a wide range of social and political challenges""-- Provided by publisher."
ChristevAtanas2013EEMI,,"EMU, EU, Market Integration and Consumption Smoothing","Christev, Atanas and Melitz, Jacques",2013,Open economies review,24,5,789-818,,,Springer US,Boston,"By taking a new approach to the study of the impact of EMU on consumption smoothing, centering on consumption volatility and therefore on smoothing more directly, we find that even though EMU tends to smooth consumption, it is not through cross-country property and claims. Rather it comes through the promotion of the tradability of goods, capital in particular: specifically, the encouragement of price competition, contestable home markets, ability to borrow and buy insurance at home, and the harmonization of regulations. Some of the consumption smoothing may also depend on EU membership rather than EMU as such but EMU adds to it. As a fundamental part of the analysis, the paper uses a new index of currency union which focuses on the ratio of trade with other countries sharing the same currency relative to total foreign trade."
alma9947512085004105,,Exports to improve labor markets in the Middle East and North Africa.,"Lopez-Acevedo, Gladys. and Robertson, Raymond.",2023,,,,,,,World Bank Publications,"Washington, D. C","In the Middle East and North Africa (MENA), trade liberalization measures have coincided with stable economic growth, and GDP per capita growth has surpassed that of other developing regions. However, MENA's labor-market outcomes--such as average wage levels, informality rate, and female labor force participation--continue to underperform. Why has rising trade failed to produce better labor market outcomes in low- and middle-income countries in the region? 'Exports to Improve Labor Markets in the Middle East and North Africa' focuses on the impact of trade policy on trade-flows and their relationship with local labor market outcomes in three low- and middle-income countries--the Arab Republic of Egypt, Morocco, and Tunisia. Given their idiosyncratic labor markets, export diversification, and trade policy history, these three countries other important lessons for economic development in the region. Policy makers and stakeholders can use these findings to design policies to improve the chances that higher trade flows will deliver better labor market outcomes and ensure that the benefits are more equally shared. 'This report, led by Gladys Lopez-Acevedo and Raymond Robertson, pushes forward the frontier of knowledge about the relationship between trade and the labor market in MENA. Although focusing on three countries (the Arab Republic of Egypt, Morocco, and Tunisia), it gives us broader lessons on how to solve the apparent puzzle of greater exposure to trade not being followed by greater labor market outcomes in the region. It points out, among other factors, how market segmentation by gender shapes the effects of trade shocks like higher exports. Policy makers in the region will definitely benefit from the evidence and analysis conveyed by the report on how to turn trade integration into a lever for shared prosperity.' --Otaviano Canuto, Senior Fellow at the Policy Center for the New South, and former Vice President of the World Bank 'This timely report attempts to understand why trade expansion did not produce the desired improvements in labor market outcomes in three non-oil-exporting countries in MENA. The main reason for the weak link between trade expansion and widely shared labor market improvements appears to be the segmented nature of labor markets in the three countries, by gender as well as by formality status. In Morocco and Tunisia, the highly segmented labor markets along gender lines, in combination with the concentration of trade in male-dominated capital-intensive sectors, led to few employment benefits accruing to women. In Egypt, the limited impact of trade on formal employment is attributable to the small size of the nation's export sector and its lack of integration with the rest of the economy. These findings are critical to understanding how barriers to widely shared prosperity can be tackled in the region.' --Ragui Assaad, Professor, Humphrey School of Public Affairs, University of Minnesota."
EdoAnthony2023Wasd,,Wealth and shifting demand pressures on the price level in England after the Black Death,"Edo, Anthony and Melitz, Jacques",2023,Cliometrica,17,1,91-124,,,Springer Berlin Heidelberg,Berlin/Heidelberg,"The scale of the rise in personal wealth following the Black Death calls the life-cycle hypothesis of consumption into consideration. Based on price level evidence, this paper shows for the first time that the wealth effect of the Black Death on economic activity continued in England for generations, up to 1450. Indeed, in the absence of consideration of the wealth effect, other influences on the price level do not even appear in the econometric analysis. The shift in tastes toward higher quality goods, luxuries and imports stemming from the per capita windfall for the survivors in the mid-fourteenth century plays a substantial part in the analysis. So does England’s little influence on the relative prices of its imports relative to home goods. The separate effects of coinage, population, trade, wages and annual number of days worked for wages on the price level all also receive major attention and new results follow for adjustment in the labor market."
FelbermayrGabriel2011Galm,,"Globalization and labor market outcomes: Wage bargaining, search frictions, and firm heterogeneity","Felbermayr, Gabriel and Prat, Julien and Schmerer, Hans-Jörg",2011,Journal of economic theory,146,1,39-73,,,Elsevier Inc,SAN DIEGO,We introduce search unemployment into Melitz's trade model. Firms' monopoly power on product markets leads to strategic wage bargaining. Solving for the symmetric equilibrium we show that the selection effect of trade influences labor market outcomes. Trade liberalization lowers unemployment and raises real wages as long as it improves average productivity. We show that this condition is likely to be met by a reduction in variable trade costs or by entry of new trading countries. Calibrating the model shows that the long-run impact of trade openness on the rate of unemployment is negative and quantitatively significant.
BaldwinRichardE.2008Tagw,,Trade and growth with heterogeneous firms,"Baldwin, Richard E. and Robert-Nicoud, Frédéric",2008,Journal of international economics,74,1,21-34,,,Elsevier B.V,AMSTERDAM,"This paper explores the impact of trade on growth when firms are heterogeneous. We find that greater openness produces anti- and pro-growth effects. The Hopenhayn–Melitz-model selection effects raises the expected cost of introducing a new variety and this tends to slow the rate of new-variety introduction and hence growth. The pro-growth effect stems from the impact that freer trade has on the marginal cost of innovating. The balance of the two effects is ambiguous with the sign depending upon the exact nature of the innovation technology and its connection to international trade in goods and ideas. We consider five special cases (these include the Grossman–Helpman, the Coe–Helpman, and the Rivera–Batiz–Romer models) two of which suggest that trade harms growth; the others predicting the opposite."
WagnerRodrigo2015Nefe,,New exports from emerging markets: Do followers benefit from pioneers?,"Wagner, Rodrigo and Zahler, Andrés",2015,Journal of development economics,114,,203-223,,,Elsevier B.V,AMSTERDAM,"We study the micro dynamics of new exports from a country. The modern international trade workhorse models (e.g. Melitz, 2003) assume heterogeneous productivity and, implicitly, predict that the ex-post largest exporters in a new product would be the pioneers, since they can pay back exploration costs. However, using detailed data on the early dynamics of new exports in Chile (1990–2007) we show that, on average, pioneers export less than comparable followers in the same new product. Moreover, followers are 40% more likely to enter a product if a pioneer survives more than one year exporting. These facts are consistent with pioneer-to-follower spillovers, or at least with stories in which the cost of entering early is disproportionally higher for larger exporters. Otherwise they would enter first. Firms better at “exploration” could be worse at “exploitation” (scale-up) in a new export product. This phenomenon is scarce, though, since in most new products pioneers are not followed, even if they survive. •Melitz (2003) implicitly predicts that the largest exporters would pioneer new export products.•Chilean data shows pioneers export less than comparable followers in new products.•Most pioneers do not have followers, though, even if they survive."
ChenYi-Fan2023Ifsd,,"Innovation, firm size distribution, and gains from trade","Chen, Yi-Fan and Hsu, Wen-Tai and Peng, Shin-Kun",2023,Theoretical economics,18,1,341-380,,,The Econometric Society,"New Haven, CT","Power laws in productivity and firm size are well-documented empirical regularities. As they are upper right-tail phenomena, this paper shows that assuming asymptotic power functions for various model primitives (such as demand and firm heterogeneity) are sufficient for matching these regularities. This greatly relaxes the functional-form restrictions in economic modeling and can be beneficial in certain contexts. We demonstrate this in a modified Melitz (2003) model which embeds an innovation mechanism in order to endogenize the productivity distribution and generate both of the above-mentioned power laws. We also investigate the model's welfare implications with regard to innovation by conducting a quantitative analysis of the welfare gains from trade."
CieślikAndrzej2016IaEP,,Innovations and Export Performance: Firm-level Evidence from Poland,"Cieślik, Andrzej and Michałek, Jan Jakub and Szczygielski, Krzysztof",2016,Entrepreneurial Business and Economics Review,4,4,11-28,,,Uniwersytet Ekonomiczny w Krakowie,KRACOW,"Objective: The main objective of this article is to study the empirical relationship between innovations and export performance of Polish firms. Research Design & Methods: Our analytical framework refers to the most recent strand in the new trade theory literature based on the Melitz (2003) model that stresses the role of firm heterogeneity and the importance of firm productivity in entering export markets. We treat innovations as a key element that can increase the level of productivity and study the significance of both product and process innovations. The empirical implementation of the theoretical framework is based on the probit model and the unique Polish CIS firm-level dataset covering the period 2008-2010. Findings: Our estimation results indicate that the probability of exporting is positively related to product and process innovations, firm size, the share of university graduates in productive employment and foreign capital participation. The results depend also on the level of technology used in the analysed sector and the relative importance of export market.Implications & Recommendations: It is necessary to develop an innovation supporting mechanism that would stimulate both product and process innovations in Poland. Contribution & Value Added: The originality of this work lies in the use of the unique Polish CIS firm level dataset that allows distinguishing between product and process innovations."
LaiEdwinL.-C.2020Ggfr,,Global gains from reduction in trade costs,"Lai, Edwin L.-C. and Fan, Haichao and Qi, Han Steffan",2020,Economic theory,70,1,313-345,,,Springer,Berlin/Heidelberg,"We develop a simple formula for computing the global welfare effect of reduction in bilateral trade costs, such as shipping costs or the costs of administrative barriers to trade. The formula is applicable to a broad class of perfect competition and monopolistic competition models and settings, including perfect competition with multi-stage production and Melitz's (Econometrica 71(6):1695-1725, 2003) model with general firm productivity distribution. We prove that the underlying mechanism is the envelope theorem. We then extend our analysis to models with non-constant markups. Finally, we carry out some empirical applications to show the user-friendliness of the formula."
CieslikAndrzej2014TIoF,,"The Influence of Firm Characteristics and Export Performance in Central and Eastern Europe: Comparisons of Visegrad, Baltic and Caucasus States","Cieslik, Andrzej and Michalek, Jan and Michalek, Anna",2014,Entrepreneurial Business and Economics Review,2,1,7-18,,,Uniwersytet Ekonomiczny w Krakowie,KRACOW,"In this paper we study the firm-level determinants of export performance in three groups of countries: the Visegrad, Baltic andCaucasus countries. Our analytical framework refers to the most recent strand in the new trade theory literature based on the Melitz (2003) model that stresses the importance of firm productivity in entering the export markets. The empirical implementation of the theoretical framework is based on the probit model and the BEEPS data set. Our empirical results confirm the importance of firm characteristics for export performance in the CEE countries. Also heterogeneity between different country groups within the region has been reported. Export competitiveness of firms from the CEE countries can be improved through the development of modern educational systems allowing to accelerate the accumulation of human capital. The financial support to research and development and innovation activities should also have a positive impact on the export performance of firms from the CEE countries. We take into account labor productivity and other firm characteristics that may affect export performance such as the age and the size of the firm, the use of human capital, and the degree of firm internationalization."
CieslikAndrzej2013TIOT,,THE IMPACT OF THE COMMON CURRENCY ON EXPORTS OF NEW EMU MEMBERS: FIRM-LEVEL EVIDENCE FOR SLOVENIA AND SLOVAKIA,"Cieslik, Andrzej and Michalek, Jan and Michalek, Anna",2013,Equilibrium (Toruń ),8,4,7-23,,,Institute of Economic Research,TORUN,"There are many studies aiming at estimation of aggregate trade effects of the euro adoption by the old EU countries, which are based on the augmented gravity model. In contrast to the existing literature, we investigate whether the adoption of the common currency increases the export activity of individual firms. In particular, we refer to the new strand in the trade theory literature, based on the Melitz (2003) model, in which export performance depends on labor productivity and costs of exporting. There are already many empirical studies, based on firm level data, showing the relevance of the Melitz (2003) model. Most of those studies demonstrate that export performance positively depends on firms’ characteristics such as labor productivity, spending on R&D, age of the firm, the stock of human capital or propensity to innovate, but they do not take into account the impact of the common currency on the cost of exporting. There are only few studies analyzing trade implications of euro adoption for firms’ exports of “old EU” members. In our empirical paper we use the firm level data basis set up by the EBRD and the World Bank for Central and Eastern European Countries. Using the probit model, we analyze whether the accession of Slovenia and Slovakia to the Eurozone did increase the firms’ propensity to export in those countries."
LawlessMartina2013MDDE,,Marginal Distance: Does Export Experience Reduce Firm Trade Costs?,"Lawless, Martina",2013,Open economies review,24,5,819-841,,,Springer US,Boston,"Are the costs of exporting to a market reduced if a firm has experience of exporting to a neighbouring market? If so, does this effect operate through reducing entry barriers or by increasing sales once the firm is operating in the market? This paper examines linkages between current export destinations and entry, sales and exit for new markets. We find that measures of exporting experience in geographically nearby markets increase the probability of entry into a market and reduce the probability of exit. However, these same measures have very limited effect on the firm’s export sales in the market. The effect of related experience on sales tends to be negative for recently entered firms. We interpret this result in the context of the Melitz heterogeneous-firm model of trade by showing that lower fixed costs reduce the entry threshold, but this lower threshold has the effect of allowing lower-sales marginal firms to be present in the market."
CuñatAlejandro2012VLMF,,"Volatility, Labor Market Flexibility, and the Pattern of Comparative Advantage","Cuñat, Alejandro and Melitz, Marc J",2012,,,,,,,Wiley Blackwell (Blackwell Publishing),,"This paper studies the link between volatility, labor market flexibility, and international trade. International differences in labor market regulations affect how firms can adjust to idiosyncratic shocks. These institutional differences interact with sector specific differences in volatility (the variance of the firm-specific shocks in a sector) to generate a new source of comparative advantage. Other things equal, countries with more flexible labor markets specialize in sectors with higher volatility. Empirical evidence for a large sample of countries strongly supports this theory: the exports of countries with more flexible labor markets are biased towards high-volatility sectors. We show how differences in labor market institutions can be parsimoniously integrated into the workhorse model of Ricardian comparative advantage of Dornbusch, Fischer, and Samuelson (1977, American Economic Review, 67, 823–839). We also show how our model can be extended to multiple factors of production."
YuZhihong2012Omia,,"Openness, managerial incentives, and heterogeneous firms","Yu, Zhihong",2012,Economic theory,51,1,71-104,,,Springer,Berlin/Heidelberg,"This paper examines the effects of trade openness on managerial incentives and firm-level productivity by incorporating the principal-agent mechanism into the heterogeneous firm trade framework inter alia Melitz (Econometrica 71:1695—1725, 2003). We show that opening up to trade generally leads to a steeper optimal managerial incentive scheme (and hence, higher firm productivity) via a new mechanism by which selection of heterogeneous firms into the export market plays a key role. This is because trade openness unambiguously increases the variation of firm profits by reallocating profits towards ex post low-cost exporters, leading to a higher stake of the market game faced by the principals. Interestingly, it is further shown that, whilst falling variable trade costs unambiguously increase managerial incentives, a reduction in fixed trade costs could possibly lead to weaker incentives and thus generate productivity losses due to an adverse inter-firm reallocation effect. Hence, the model establishes a causal link between the Melitz-type reallocation effect and the within-firm productivity changes, both of which have been identified as important sources of aggregate productivity gains from trade by recent empirical studies."
EngelDirk2012EFaf,,"Export, FDI and firm productivity","Engel, Dirk and Procher, Vivien",2012,Applied economics,44,15,1931-1940,,,Routledge,"New York, NY","Many empirical papers tested the theoretical predictions of Helpman, Melitz and Yeaple (HMY, 2004) which sorts firms at different internationalization states according to their productivity levels. While these papers ignore the fact, that the theoretical predictions of HMY only apply to firms that become engaged in market-driven Foreign Direct Investment (FDI), we apply a more precise methodology using a French firm sample with more than 110 000 observations. Our results show that firms with a broader investment strategy, reflecting a great importance of market-driven motives, show higher productivity levels than firms with less encompassing foreign investment strategies. We conclude that the methodology is well-suited to sort firms according to the importance of market-driven FDI."
HuangXiaoxin2022AQMo,,A Quantitative Model of International Trade Based on Deep Neural Network,"Huang, Xiaoxin and Chen, Xiuxiu",2022,Computational intelligence and neuroscience,2022,,9811358-11,,,Hindawi,LONDON,"This paper is an in-depth study of international trade quantification models based on deep neural networks. Based on an in-depth analysis of global trade characteristics, a summary of existing problems, and a comparative analysis of various prediction methods, this paper constructs the ARIMA model, BP neural network (BPNN) model, and deep neural network (DNN) model to make a comprehensive comparison of international trade quantification. The results show that the nonlinear model has a global trade quantification has some advantages over linear models, and the deep model shows better prediction performance than the shallow model. In addition, preprocessing of the time series is considered to improve the prediction accuracy or shorten the model training time. The empirical modal analysis method (EMD) is introduced to decompose the time series into eigenmodal functions (IMFs) of different scales. Then the decomposed IMF series are arranged into a matrix using principal component analysis (PCA) to reduce the dimensionality and extract the data containing the most stock index information features; these features are then input into BPNN and DNN for combined prediction, thus constructing the combined models EMD-PCA-BPNN and EMD-PCA-DNN. Based on Melitz’s heterogeneous firm trade theory and its development by Chaney, a quantitative trade model incorporating production heterogeneity is constructed through a multisector extension. This paper adopts a general equilibrium analysis, which makes the modeling process pulse clear. The completed model has high flexibility and scalability, which can be applied to quantitative analysis of various problems."
AhmedHamna2012DoEP,,Determinants of Export Performance in the Wake of the Global Financial Crisis: Evidence from South Asia,"Ahmed, Hamna and Said, Farah",2012,Pakistan development review,51,4,227-243,,,Pakistan Institute of Development Economics,Islamabad,"This study has been undertaken with a two-fold objective: Firstly, to analyse the impact of the global financial crisis on manufacturing and service exports in four South Asian countries. Secondly, to understand the determinants of export performance in a sample of exporting firms from Pakistan, India, Bangladesh and Sri Lanka. The main emphasis in this part of the analysis will be on various dimensions of the business environment in which firms operate such as the degree of competition from informal activity, prevalence of corruption and the general efficiency of the logistics industry in the economy. The study uses data provided by the Interim Enterprise Survey conducted in 2009-10. Estimation is done in three stages—first on the sample of Pakistani firms, then the pooled sample (containing firms from India, Bangladesh and Sri Lanka) and finally the pooled sub-sample (containing Indian and Sri Lankan firms only). Results reveal that for the pooled sample, the impact of the crisis on export growth becomes insignificant by 2011 which could possibly suggest that firms have recovered from the impact of the crisis by the time these firms were interviewed for the Interim Survey data collection in 2010. On the other hand for Pakistan, crisis continues to have a significant negative impact on expected export growth even after two years since the onset of the crisis—suggesting that financial markets in Pakistan are more underdeveloped relative to comparator countries of South Asia. In addition size is consistently found to be an important determinant of export growth for Pakistani firms. This implies that government policies aimed at promoting organic growth of small firms may be useful in increasing future export growth."
LindicMojca2015HTFU,,HOW TRADING FIRMS UPGRADE SKILLS AND TECHNOLOGY: THEORETICAL MODEL,"Lindic, Mojca",2015,Economic and business review for Central and South-Eastern Europe,17,3,347-369,,,"University of Ljubljana, Faculty of Economics",Ljubljana,"This paper studies the mechanisms of skill upgrading in trading firms by developing a theoretical model that relates the individual's incentives for acquiring higher skills to the profit-maximizing behaviour of trading firms. The model shows that only the high ability individuals have incentives for acquiring higher skills, as long as they are compensated with higher wages after entering employment. Furthermore, high-productive firms have incentives for investing in higher technology, to employ high-skilled labour, and to engage in international trade. The decisions for technology dress-up and skill upgrading coincide with firm's decisions to start importing and exporting as the latter requires higher technology and high-skilled labour. Contributions of the paper are twofold: gaining new insights by combining fragments of models on individual's and firm's behaviours, and broadening the content of the Melitz (2003) model by introducing importers and controlling for skilled and unskilled labour."
